Date,Open,High,Low,Close,Adj Close,Volume
2016-04-05,83.199997,83.41999799999999,82.809998,83.019997,73.360168,3251300
2016-04-06,83.050003,83.260002,82.589996,83.220001,73.53688000000001,2940500
2016-04-07,83.019997,83.220001,82.33000200000001,82.699997,73.077393,2339400
2016-04-08,83.129997,83.5,82.949997,83.160004,73.483879,3370300
2016-04-11,83.32,83.559998,82.970001,82.989998,73.333649,2848100
2016-04-12,83.16999799999999,83.790001,82.959999,83.589996,73.863823,2504600
2016-04-13,83.83000200000001,83.870003,82.940002,83.220001,73.53688000000001,2827000
2016-04-14,83.16999799999999,83.230003,82.540001,82.760002,73.130424,2044200
2016-04-15,82.91999799999999,83.58000200000001,82.5,83.379997,73.678268,2429100
2016-04-18,83.25,83.790001,83.139999,83.779999,74.03173100000001,2347400
2016-04-19,84.010002,84.010002,83.480003,83.82,74.06707,3137200
2016-04-20,83.83000200000001,84.0,82.33000200000001,82.400002,72.812309,4085800
2016-04-21,82.360001,82.529999,80.68,80.93,71.51334399999999,5046100
2016-04-22,80.93,81.949997,80.809998,81.809998,72.29095500000001,3124400
2016-04-25,81.550003,82.5,81.529999,82.489998,72.891838,2385600
2016-04-26,82.790001,83.279999,82.510002,82.809998,73.174599,3190800
2016-04-27,82.790001,82.91999799999999,81.860001,82.760002,73.130424,3244500
2016-04-28,82.260002,83.089996,81.940002,82.589996,72.980202,2870600
2016-04-29,82.190002,82.370003,81.029999,81.83000200000001,72.308624,4117300
2016-05-02,81.779999,83.309998,81.779999,83.099998,73.430847,4008000
2016-05-03,83.07,83.290001,82.589996,83.230003,73.545731,3305700
2016-05-04,82.709999,84.58000200000001,82.709999,84.41999799999999,74.597267,4138600
2016-05-05,84.529999,84.82,84.129997,84.660004,74.809341,3324300
2016-05-06,84.650002,85.660004,84.260002,85.589996,75.631126,3495900
2016-05-09,85.860001,86.66999799999999,85.620003,86.529999,76.46174599999999,4568700
2016-05-10,86.720001,86.82,86.220001,86.519997,76.452911,4034800
2016-05-11,86.470001,86.470001,84.339996,84.66999799999999,74.818169,4063900
2016-05-12,84.769997,85.440002,84.08000200000001,85.160004,75.25116700000001,3471000
2016-05-13,84.93,84.93,83.809998,84.400002,74.57959,3991500
2016-05-16,84.389999,85.449997,84.32,85.199997,75.286507,3374900
2016-05-17,84.989998,84.989998,83.160004,83.620003,73.890343,4308300
2016-05-18,83.269997,83.360001,81.370003,82.309998,72.732765,4708500
2016-05-19,81.790001,81.980003,80.959999,81.389999,71.919823,4316000
2016-05-20,81.699997,82.190002,81.550003,82.040001,72.494194,3296100
