Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,92.370003,92.610001,91.610001,91.629997,81.74588,321000
2016-01-04,90.889999,90.889999,89.699997,90.480003,80.719948,723700
2016-01-05,90.400002,92.5,90.400002,92.199997,82.254402,531000
2016-01-06,91.529999,92.120003,91.32,91.870003,81.96000699999999,207800
2016-01-07,90.800003,91.18,90.129997,90.18,80.452309,359400
2016-01-08,90.57,90.760002,88.790001,88.910004,79.319298,169700
2016-01-11,89.040001,89.900002,89.040001,89.410004,79.765373,447600
2016-01-12,89.910004,89.910004,88.400002,88.870003,79.28362299999999,413700
2016-01-13,89.160004,89.940002,87.629997,87.730003,78.26657900000001,1688700
2016-01-14,87.639999,88.300003,86.940002,87.41999799999999,77.99002800000001,198100
2016-01-15,86.230003,87.129997,85.709999,86.879997,77.508278,278500
2016-01-19,86.769997,88.040001,86.769997,87.470001,78.03463,745000
2016-01-20,86.660004,87.099998,83.269997,84.889999,75.732933,396000
2016-01-21,85.260002,86.519997,84.75,85.389999,76.179001,366900
2016-01-22,86.25,88.019997,86.25,87.639999,78.18630999999999,259800
2016-01-25,87.470001,88.41999799999999,86.900002,87.099998,77.704552,600400
2016-01-26,87.529999,88.980003,87.389999,88.980003,79.381752,189500
2016-01-27,88.480003,88.760002,86.5,87.18,77.775902,329400
2016-01-28,87.550003,87.889999,85.940002,86.339996,77.026527,328000
2016-01-29,86.779999,88.07,86.08000200000001,87.910004,78.427162,686000
2016-02-01,87.519997,88.760002,87.08000200000001,88.019997,78.525299,444100
2016-02-02,87.720001,87.720001,86.690002,87.129997,77.731308,317500
2016-02-03,87.510002,88.0,86.650002,87.790001,78.320122,221800
2016-02-04,87.489998,88.18,86.870003,87.760002,78.29334300000001,286200
2016-02-05,87.599998,87.599998,85.970001,86.040001,76.758888,173400
2016-02-08,85.510002,85.519997,82.349998,83.68,74.653458,205200
2016-02-09,82.769997,83.029999,81.599998,82.110001,73.252815,1062200
2016-02-10,82.470001,83.739998,82.470001,82.629997,73.716713,305000
2016-02-11,81.5,81.769997,80.739998,81.239998,72.47665400000001,508600
2016-02-12,81.779999,82.309998,81.279999,82.139999,73.279572,211500
